,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
RBMS1,ENSG00000153250,Gene Expression,GRCh38,6959.0,RBMS1,6366
SPSB2,ENSG00000111671,Gene Expression,GRCh38,180.0,SPSB2,178
PPAT,ENSG00000128059,Gene Expression,GRCh38,665.0,PPAT,642
SNRPA1,ENSG00000131876,Gene Expression,GRCh38,4328.0,SNRPA1,4064
AL590867.1,ENSG00000213121,Gene Expression,GRCh38,2.0,AL590867.1,2
GNPAT,ENSG00000116906,Gene Expression,GRCh38,401.0,GNPAT,389
BEST1,ENSG00000167995,Gene Expression,GRCh38,240.0,BEST1,239
GNRH2,ENSG00000125787,Gene Expression,GRCh38,5.0,GNRH2,5
USP34,ENSG00000115464,Gene Expression,GRCh38,1576.0,USP34,1531
RARA,ENSG00000131759,Gene Expression,GRCh38,113.0,RARA,111
AL359258.2,ENSG00000260879,Gene Expression,GRCh38,20.0,AL359258.2,20
ABCG1,ENSG00000160179,Gene Expression,GRCh38,48.0,ABCG1,46
CMTM7,ENSG00000153551,Gene Expression,GRCh38,65.0,CMTM7,65
NRIP2,ENSG00000053702,Gene Expression,GRCh38,5.0,NRIP2,5
AL158196.1,ENSG00000276968,Gene Expression,GRCh38,3.0,AL158196.1,3
SRCAP,ENSG00000080603,Gene Expression,GRCh38,132.0,SRCAP,129
LINC01973,ENSG00000204283,Gene Expression,GRCh38,9.0,LINC01973,9
DGUOK,ENSG00000114956,Gene Expression,GRCh38,4246.0,DGUOK,3911
B3GALT4,ENSG00000235863,Gene Expression,GRCh38,466.0,B3GALT4,447
MFSD3,ENSG00000167700,Gene Expression,GRCh38,461.0,MFSD3,450
C1orf35,ENSG00000143793,Gene Expression,GRCh38,1556.0,C1orf35,1432
HIST1H2AI,ENSG00000196747,Gene Expression,GRCh38,2.0,HIST1H2AI,2
DMC1,ENSG00000100206,Gene Expression,GRCh38,14.0,DMC1,13
AC092718.1,ENSG00000245059,Gene Expression,GRCh38,6.0,AC092718.1,6
IQCJ,ENSG00000214216,Gene Expression,GRCh38,1.0,IQCJ,1
HSPA1B,ENSG00000204388,Gene Expression,GRCh38,11262.0,HSPA1B,10148
AL731571.1,ENSG00000273599,Gene Expression,GRCh38,24.0,AL731571.1,24
IQANK1,ENSG00000203499,Gene Expression,GRCh38,622.0,IQANK1,608
RGMB,ENSG00000174136,Gene Expression,GRCh38,247.0,RGMB,246
HCG22,ENSG00000228789,Gene Expression,GRCh38,1.0,HCG22,1
BNC2-AS1,ENSG00000234779,Gene Expression,GRCh38,1.0,BNC2-AS1,1
NR1D2,ENSG00000174738,Gene Expression,GRCh38,591.0,NR1D2,573
AL049870.3,ENSG00000258949,Gene Expression,GRCh38,3.0,AL049870.3,2
MSX1,ENSG00000163132,Gene Expression,GRCh38,7.0,MSX1,7
GNRHR,ENSG00000109163,Gene Expression,GRCh38,1.0,GNRHR,1
FAM198B,ENSG00000164125,Gene Expression,GRCh38,53.0,FAM198B,52
BCL2L10,ENSG00000137875,Gene Expression,GRCh38,1.0,BCL2L10,1
HCK,ENSG00000101336,Gene Expression,GRCh38,3.0,HCK,3
SAT1,ENSG00000130066,Gene Expression,GRCh38,83432.0,SAT1,44165
AP001350.1,ENSG00000269570,Gene Expression,GRCh38,6.0,AP001350.1,6
AP003469.3,ENSG00000253737,Gene Expression,GRCh38,1.0,AP003469.3,1
AC073254.1,ENSG00000237126,Gene Expression,GRCh38,2.0,AC073254.1,2
AUNIP,ENSG00000127423,Gene Expression,GRCh38,132.0,AUNIP,130
HEATR3,ENSG00000155393,Gene Expression,GRCh38,203.0,HEATR3,200
FOXK1,ENSG00000164916,Gene Expression,GRCh38,210.0,FOXK1,206
LMO7,ENSG00000136153,Gene Expression,GRCh38,511.0,LMO7,494
AC027277.1,ENSG00000256013,Gene Expression,GRCh38,9.0,AC027277.1,9
LINC00535,ENSG00000246662,Gene Expression,GRCh38,1.0,LINC00535,1
NELFA,ENSG00000185049,Gene Expression,GRCh38,991.0,NELFA,943
OMG,ENSG00000126861,Gene Expression,GRCh38,3.0,OMG,3
DCUN1D5,ENSG00000137692,Gene Expression,GRCh38,1962.0,DCUN1D5,1892
AL118505.1,ENSG00000278192,Gene Expression,GRCh38,8.0,AL118505.1,8
C1orf123,ENSG00000162384,Gene Expression,GRCh38,895.0,C1orf123,880
CNR1,ENSG00000118432,Gene Expression,GRCh38,11.0,CNR1,11
CCDC144NL,ENSG00000205212,Gene Expression,GRCh38,101.0,CCDC144NL,100
DOCK3,ENSG00000088538,Gene Expression,GRCh38,4.0,DOCK3,4
SCNN1A,ENSG00000111319,Gene Expression,GRCh38,279.0,SCNN1A,274
AL136382.1,ENSG00000285210,Gene Expression,GRCh38,0.0,AL136382.1,0
PITPNM1,ENSG00000110697,Gene Expression,GRCh38,733.0,PITPNM1,723
IGSF9B,ENSG00000080854,Gene Expression,GRCh38,1.0,IGSF9B,1
CHD6,ENSG00000124177,Gene Expression,GRCh38,1117.0,CHD6,1089
FOXP4,ENSG00000137166,Gene Expression,GRCh38,269.0,FOXP4,259
RBM38,ENSG00000132819,Gene Expression,GRCh38,532.0,RBM38,516
PLB1,ENSG00000163803,Gene Expression,GRCh38,286.0,PLB1,282
AC011481.1,ENSG00000267114,Gene Expression,GRCh38,2.0,AC011481.1,2
EPN2,ENSG00000072134,Gene Expression,GRCh38,2626.0,EPN2,2498
AL135744.1,ENSG00000260830,Gene Expression,GRCh38,1.0,AL135744.1,1
HLA-DOB,ENSG00000241106,Gene Expression,GRCh38,39.0,HLA-DOB,35
STON1,ENSG00000243244,Gene Expression,GRCh38,137.0,STON1,133
PCDHA1,ENSG00000204970,Gene Expression,GRCh38,1.0,PCDHA1,1
CCT3,ENSG00000163468,Gene Expression,GRCh38,4411.0,CCT3,4137
CATSPERB,ENSG00000133962,Gene Expression,GRCh38,46.0,CATSPERB,46
DNAL4,ENSG00000100246,Gene Expression,GRCh38,354.0,DNAL4,353
IL5RA,ENSG00000091181,Gene Expression,GRCh38,2.0,IL5RA,2
FN1,ENSG00000115414,Gene Expression,GRCh38,17699.0,FN1,14638
AC009065.3,ENSG00000260447,Gene Expression,GRCh38,8.0,AC009065.3,8
BPNT1,ENSG00000162813,Gene Expression,GRCh38,473.0,BPNT1,460
TLE6,ENSG00000104953,Gene Expression,GRCh38,1241.0,TLE6,1196
RAB11B,ENSG00000185236,Gene Expression,GRCh38,3095.0,RAB11B,2930
LINC02503,ENSG00000249614,Gene Expression,GRCh38,2.0,LINC02503,2
MTURN,ENSG00000180354,Gene Expression,GRCh38,217.0,MTURN,209
TTBK2,ENSG00000128881,Gene Expression,GRCh38,576.0,TTBK2,551
AC022726.2,ENSG00000283125,Gene Expression,GRCh38,1.0,AC022726.2,1
CPN1,ENSG00000120054,Gene Expression,GRCh38,2.0,CPN1,2
TBC1D8-AS1,ENSG00000272902,Gene Expression,GRCh38,8.0,TBC1D8-AS1,8
PTRH1,ENSG00000187024,Gene Expression,GRCh38,662.0,PTRH1,647
RAB17,ENSG00000124839,Gene Expression,GRCh38,275.0,RAB17,269
CDC37L1,ENSG00000106993,Gene Expression,GRCh38,1097.0,CDC37L1,1049
LPIN1,ENSG00000134324,Gene Expression,GRCh38,456.0,LPIN1,441
GBP4,ENSG00000162654,Gene Expression,GRCh38,28.0,GBP4,28
GPBP1,ENSG00000062194,Gene Expression,GRCh38,2593.0,GPBP1,2486
AP001094.3,ENSG00000266149,Gene Expression,GRCh38,2.0,AP001094.3,2
NUP35,ENSG00000163002,Gene Expression,GRCh38,168.0,NUP35,168
LINC01326,ENSG00000244321,Gene Expression,GRCh38,1.0,LINC01326,1
MRPL57,ENSG00000173141,Gene Expression,GRCh38,4207.0,MRPL57,3839
RBM33,ENSG00000184863,Gene Expression,GRCh38,1480.0,RBM33,1426
AC027045.3,ENSG00000283025,Gene Expression,GRCh38,1.0,AC027045.3,1
ZSCAN4,ENSG00000180532,Gene Expression,GRCh38,17.0,ZSCAN4,17
OR7D4,ENSG00000174667,Gene Expression,GRCh38,1.0,OR7D4,1
MKRN2,ENSG00000075975,Gene Expression,GRCh38,774.0,MKRN2,755
HERPUD2,ENSG00000122557,Gene Expression,GRCh38,696.0,HERPUD2,676
PRND,ENSG00000171864,Gene Expression,GRCh38,1.0,PRND,1
RASA4B,ENSG00000170667,Gene Expression,GRCh38,0.0,RASA4B,0
BFSP2-AS1,ENSG00000249993,Gene Expression,GRCh38,1.0,BFSP2-AS1,1
RPL27,ENSG00000131469,Gene Expression,GRCh38,56967.0,RPL27,35557
AL162595.2,ENSG00000233920,Gene Expression,GRCh38,1.0,AL162595.2,1
AC026347.1,ENSG00000243305,Gene Expression,GRCh38,1.0,AC026347.1,1
AC096746.1,ENSG00000246541,Gene Expression,GRCh38,1.0,AC096746.1,1
ZBTB46,ENSG00000130584,Gene Expression,GRCh38,93.0,ZBTB46,91
KATNAL1,ENSG00000102781,Gene Expression,GRCh38,18.0,KATNAL1,18
LRRC57,ENSG00000180979,Gene Expression,GRCh38,736.0,LRRC57,704
BRICD5,ENSG00000182685,Gene Expression,GRCh38,128.0,BRICD5,126
EP400,ENSG00000183495,Gene Expression,GRCh38,1025.0,EP400,999
FAM222A,ENSG00000139438,Gene Expression,GRCh38,22.0,FAM222A,22
BASP1,ENSG00000176788,Gene Expression,GRCh38,24684.0,BASP1,19094
ADORA2A,ENSG00000128271,Gene Expression,GRCh38,1.0,ADORA2A,1
CASD1,ENSG00000127995,Gene Expression,GRCh38,680.0,CASD1,667
NHLH2,ENSG00000177551,Gene Expression,GRCh38,1.0,NHLH2,1
NBPF15,ENSG00000266338,Gene Expression,GRCh38,145.0,NBPF15,144
AL133467.1,ENSG00000258572,Gene Expression,GRCh38,2.0,AL133467.1,2
AC044849.1,ENSG00000272256,Gene Expression,GRCh38,73.0,AC044849.1,72
SARAF,ENSG00000133872,Gene Expression,GRCh38,5229.0,SARAF,4930
VPS52,ENSG00000223501,Gene Expression,GRCh38,503.0,VPS52,487
PSEN2,ENSG00000143801,Gene Expression,GRCh38,234.0,PSEN2,229
DRAM2,ENSG00000156171,Gene Expression,GRCh38,1298.0,DRAM2,1269
CATSPERE,ENSG00000179397,Gene Expression,GRCh38,4.0,CATSPERE,4
MYL9,ENSG00000101335,Gene Expression,GRCh38,924.0,MYL9,886
SUPT20H,ENSG00000102710,Gene Expression,GRCh38,1264.0,SUPT20H,1220
PNKD,ENSG00000127838,Gene Expression,GRCh38,2876.0,PNKD,2732
AC242426.2,ENSG00000237188,Gene Expression,GRCh38,81.0,AC242426.2,77
CEP295NL,ENSG00000178404,Gene Expression,GRCh38,36.0,CEP295NL,36
CRISP2,ENSG00000124490,Gene Expression,GRCh38,4.0,CRISP2,4
EIF5A2,ENSG00000163577,Gene Expression,GRCh38,142.0,EIF5A2,137
AC006547.1,ENSG00000236540,Gene Expression,GRCh38,5.0,AC006547.1,5
TNNT1,ENSG00000105048,Gene Expression,GRCh38,127.0,TNNT1,125
HLTF,ENSG00000071794,Gene Expression,GRCh38,404.0,HLTF,393
AC097468.1,ENSG00000224090,Gene Expression,GRCh38,1.0,AC097468.1,1
AC023043.1,ENSG00000260552,Gene Expression,GRCh38,197.0,AC023043.1,187
SHOX2,ENSG00000168779,Gene Expression,GRCh38,135.0,SHOX2,126
ATAD3A,ENSG00000197785,Gene Expression,GRCh38,712.0,ATAD3A,704
ORM2,ENSG00000228278,Gene Expression,GRCh38,1.0,ORM2,1
LINC02535,ENSG00000234155,Gene Expression,GRCh38,34.0,LINC02535,33
HEATR6,ENSG00000068097,Gene Expression,GRCh38,218.0,HEATR6,213
PROZ,ENSG00000126231,Gene Expression,GRCh38,2.0,PROZ,2
PTN,ENSG00000105894,Gene Expression,GRCh38,6576.0,PTN,5966
SPIB,ENSG00000269404,Gene Expression,GRCh38,9.0,SPIB,9
FBRSL1,ENSG00000112787,Gene Expression,GRCh38,1188.0,FBRSL1,1157
LINC01905,ENSG00000267057,Gene Expression,GRCh38,23.0,LINC01905,22
VPS33B,ENSG00000184056,Gene Expression,GRCh38,408.0,VPS33B,398
RRP9,ENSG00000114767,Gene Expression,GRCh38,633.0,RRP9,616
LINC01843,ENSG00000251169,Gene Expression,GRCh38,6.0,LINC01843,6
PRKCG,ENSG00000126583,Gene Expression,GRCh38,13.0,PRKCG,12
LINC01422,ENSG00000223704,Gene Expression,GRCh38,1.0,LINC01422,1
SLC35E2A,ENSG00000215790,Gene Expression,GRCh38,137.0,SLC35E2A,136
ZNF623,ENSG00000183309,Gene Expression,GRCh38,238.0,ZNF623,233
POP4,ENSG00000105171,Gene Expression,GRCh38,869.0,POP4,838
AL121906.2,ENSG00000275223,Gene Expression,GRCh38,12.0,AL121906.2,12
IL22RA2,ENSG00000164485,Gene Expression,GRCh38,103.0,IL22RA2,100
C10orf82,ENSG00000165863,Gene Expression,GRCh38,1.0,C10orf82,1
AL603839.3,ENSG00000238287,Gene Expression,GRCh38,2.0,AL603839.3,2
AL451107.1,ENSG00000230720,Gene Expression,GRCh38,1.0,AL451107.1,1
FRG1-DT,ENSG00000245685,Gene Expression,GRCh38,1.0,FRG1-DT,1
MSI2,ENSG00000153944,Gene Expression,GRCh38,592.0,MSI2,573
IL7R,ENSG00000168685,Gene Expression,GRCh38,10.0,IL7R,9
DZIP1L,ENSG00000158163,Gene Expression,GRCh38,3.0,DZIP1L,2
PDZD11,ENSG00000120509,Gene Expression,GRCh38,912.0,PDZD11,889
TMPO,ENSG00000120802,Gene Expression,GRCh38,759.0,TMPO,742
LBH,ENSG00000213626,Gene Expression,GRCh38,214.0,LBH,210
MYO1H,ENSG00000174527,Gene Expression,GRCh38,12.0,MYO1H,11
PCDH11Y,ENSG00000099715,Gene Expression,GRCh38,19.0,PCDH11Y,18
RNF149,ENSG00000163162,Gene Expression,GRCh38,2052.0,RNF149,1987
CENPF,ENSG00000117724,Gene Expression,GRCh38,267.0,CENPF,249
AC006504.1,ENSG00000261770,Gene Expression,GRCh38,2.0,AC006504.1,2
TEDC2,ENSG00000162062,Gene Expression,GRCh38,94.0,TEDC2,93
NKIRAS1,ENSG00000197885,Gene Expression,GRCh38,261.0,NKIRAS1,256
FEZF1,ENSG00000128610,Gene Expression,GRCh38,3.0,FEZF1,3
ATXN3L,ENSG00000123594,Gene Expression,GRCh38,0.0,ATXN3L,0
RPTN,ENSG00000215853,Gene Expression,GRCh38,2.0,RPTN,2
PRR30,ENSG00000186143,Gene Expression,GRCh38,1.0,PRR30,1
FANCI,ENSG00000140525,Gene Expression,GRCh38,230.0,FANCI,218
C1orf53,ENSG00000203724,Gene Expression,GRCh38,407.0,C1orf53,390
CBX7,ENSG00000100307,Gene Expression,GRCh38,247.0,CBX7,241
LINC02071,ENSG00000249383,Gene Expression,GRCh38,6.0,LINC02071,6
WAC-AS1,ENSG00000254635,Gene Expression,GRCh38,787.0,WAC-AS1,724
MEIS2,ENSG00000134138,Gene Expression,GRCh38,290.0,MEIS2,286
ZNF266,ENSG00000174652,Gene Expression,GRCh38,180.0,ZNF266,178
RFXANK,ENSG00000064490,Gene Expression,GRCh38,1241.0,RFXANK,1200
PIGU,ENSG00000101464,Gene Expression,GRCh38,523.0,PIGU,508
ABCC5,ENSG00000114770,Gene Expression,GRCh38,141.0,ABCC5,140
OSBPL6,ENSG00000079156,Gene Expression,GRCh38,132.0,OSBPL6,128
AC145543.1,ENSG00000233866,Gene Expression,GRCh38,1.0,AC145543.1,1
C8orf37-AS1,ENSG00000253773,Gene Expression,GRCh38,2.0,C8orf37-AS1,2
LINC00330,ENSG00000235097,Gene Expression,GRCh38,9.0,LINC00330,9
KIAA0586,ENSG00000100578,Gene Expression,GRCh38,304.0,KIAA0586,288
HIPK1-AS1,ENSG00000235527,Gene Expression,GRCh38,11.0,HIPK1-AS1,11
GRM8,ENSG00000179603,Gene Expression,GRCh38,1.0,GRM8,1
AC046143.1,ENSG00000229334,Gene Expression,GRCh38,3.0,AC046143.1,3
OLAH,ENSG00000152463,Gene Expression,GRCh38,425.0,OLAH,412
GLYCTK,ENSG00000168237,Gene Expression,GRCh38,138.0,GLYCTK,136
BLOC1S2,ENSG00000196072,Gene Expression,GRCh38,1202.0,BLOC1S2,1173
PSMG1,ENSG00000183527,Gene Expression,GRCh38,794.0,PSMG1,776
SLC1A1,ENSG00000106688,Gene Expression,GRCh38,27.0,SLC1A1,26
METTL18,ENSG00000171806,Gene Expression,GRCh38,83.0,METTL18,81
CIDEB,ENSG00000136305,Gene Expression,GRCh38,5.0,CIDEB,5
SLC10A6,ENSG00000145283,Gene Expression,GRCh38,8.0,SLC10A6,8
CLEC7A,ENSG00000172243,Gene Expression,GRCh38,793.0,CLEC7A,767
KALRN,ENSG00000160145,Gene Expression,GRCh38,158.0,KALRN,148
AC027796.3,ENSG00000262304,Gene Expression,GRCh38,3.0,AC027796.3,3
AC004835.1,ENSG00000230392,Gene Expression,GRCh38,2.0,AC004835.1,2
YPEL2,ENSG00000175155,Gene Expression,GRCh38,1071.0,YPEL2,1036
NR1H2,ENSG00000131408,Gene Expression,GRCh38,1136.0,NR1H2,1113
AC130650.2,ENSG00000276564,Gene Expression,GRCh38,22.0,AC130650.2,22
FKBP6,ENSG00000077800,Gene Expression,GRCh38,2.0,FKBP6,2
SLC29A2,ENSG00000174669,Gene Expression,GRCh38,308.0,SLC29A2,299
PHAX,ENSG00000164902,Gene Expression,GRCh38,1166.0,PHAX,1123
PI15,ENSG00000137558,Gene Expression,GRCh38,4.0,PI15,4
NGRN,ENSG00000182768,Gene Expression,GRCh38,246.0,NGRN,241
P3H1,ENSG00000117385,Gene Expression,GRCh38,1808.0,P3H1,1749
AL662796.1,ENSG00000225914,Gene Expression,GRCh38,0.0,AL662796.1,0
NPIPB6,ENSG00000198156,Gene Expression,GRCh38,6.0,NPIPB6,6
NBAS,ENSG00000151779,Gene Expression,GRCh38,612.0,NBAS,592
AC123595.1,ENSG00000234292,Gene Expression,GRCh38,7.0,AC123595.1,7
PLEKHG7,ENSG00000187510,Gene Expression,GRCh38,0.0,PLEKHG7,0
RPS12,ENSG00000112306,Gene Expression,GRCh38,149813.0,RPS12,54820
AL050338.1,ENSG00000225148,Gene Expression,GRCh38,1.0,AL050338.1,1
FBXO42,ENSG00000037637,Gene Expression,GRCh38,685.0,FBXO42,675
MNT,ENSG00000070444,Gene Expression,GRCh38,524.0,MNT,517
NMNAT2,ENSG00000157064,Gene Expression,GRCh38,557.0,NMNAT2,548
AC060814.5,ENSG00000280881,Gene Expression,GRCh38,1.0,AC060814.5,1
PTPRD-AS1,ENSG00000225706,Gene Expression,GRCh38,1.0,PTPRD-AS1,1
PPP4R3A,ENSG00000100796,Gene Expression,GRCh38,2409.0,PPP4R3A,2318
AC005034.3,ENSG00000270696,Gene Expression,GRCh38,144.0,AC005034.3,142
STRADB,ENSG00000082146,Gene Expression,GRCh38,492.0,STRADB,477
POU5F1,ENSG00000204531,Gene Expression,GRCh38,2.0,POU5F1,2
LINC01565,ENSG00000198685,Gene Expression,GRCh38,3.0,LINC01565,3
NIPA1,ENSG00000170113,Gene Expression,GRCh38,191.0,NIPA1,183
MAFF,ENSG00000185022,Gene Expression,GRCh38,9677.0,MAFF,8714
AC068594.2,ENSG00000265121,Gene Expression,GRCh38,0.0,AC068594.2,0
AC106864.1,ENSG00000249532,Gene Expression,GRCh38,6.0,AC106864.1,6
DCTD,ENSG00000129187,Gene Expression,GRCh38,692.0,DCTD,676
RPL35A,ENSG00000182899,Gene Expression,GRCh38,59181.0,RPL35A,35662
INPP5D,ENSG00000168918,Gene Expression,GRCh38,131.0,INPP5D,130
CACYBP,ENSG00000116161,Gene Expression,GRCh38,2142.0,CACYBP,2053
CCDC88C,ENSG00000015133,Gene Expression,GRCh38,103.0,CCDC88C,100
AURKC,ENSG00000105146,Gene Expression,GRCh38,22.0,AURKC,21
FUBP3,ENSG00000107164,Gene Expression,GRCh38,2244.0,FUBP3,2167
CDK14,ENSG00000058091,Gene Expression,GRCh38,4.0,CDK14,4
ACTL6B,ENSG00000077080,Gene Expression,GRCh38,2.0,ACTL6B,2
GPR89A,ENSG00000117262,Gene Expression,GRCh38,176.0,GPR89A,173
AC132219.1,ENSG00000253334,Gene Expression,GRCh38,1.0,AC132219.1,1
ODF4,ENSG00000184650,Gene Expression,GRCh38,2.0,ODF4,2
ZNF382,ENSG00000161298,Gene Expression,GRCh38,34.0,ZNF382,33
KCNIP2,ENSG00000120049,Gene Expression,GRCh38,6.0,KCNIP2,6
BTBD7,ENSG00000011114,Gene Expression,GRCh38,2762.0,BTBD7,2629
APOL4,ENSG00000100336,Gene Expression,GRCh38,62.0,APOL4,62
EXOC1,ENSG00000090989,Gene Expression,GRCh38,2346.0,EXOC1,2242
MACC1,ENSG00000183742,Gene Expression,GRCh38,62.0,MACC1,62
AC008124.1,ENSG00000273015,Gene Expression,GRCh38,165.0,AC008124.1,160
POLN,ENSG00000130997,Gene Expression,GRCh38,11.0,POLN,11
POFUT1,ENSG00000101346,Gene Expression,GRCh38,526.0,POFUT1,516
MIS18A-AS1,ENSG00000227256,Gene Expression,GRCh38,1.0,MIS18A-AS1,1
VCX3A,ENSG00000169059,Gene Expression,GRCh38,1.0,VCX3A,1
PLEKHA7,ENSG00000166689,Gene Expression,GRCh38,105.0,PLEKHA7,103
AC012409.3,ENSG00000277135,Gene Expression,GRCh38,1.0,AC012409.3,1
NFE2L2,ENSG00000116044,Gene Expression,GRCh38,3992.0,NFE2L2,3781
TTC39A,ENSG00000085831,Gene Expression,GRCh38,104.0,TTC39A,101
LIMD1,ENSG00000144791,Gene Expression,GRCh38,1676.0,LIMD1,1631
PDF,ENSG00000258429,Gene Expression,GRCh38,7.0,PDF,7
HDC,ENSG00000140287,Gene Expression,GRCh38,1.0,HDC,1
FAM45A,ENSG00000119979,Gene Expression,GRCh38,1966.0,FAM45A,1872
FLNB,ENSG00000136068,Gene Expression,GRCh38,12667.0,FLNB,10976
EID2B,ENSG00000176401,Gene Expression,GRCh38,11.0,EID2B,11
C17orf53,ENSG00000125319,Gene Expression,GRCh38,22.0,C17orf53,21
CEPT1,ENSG00000134255,Gene Expression,GRCh38,601.0,CEPT1,588
MARCH8,ENSG00000165406,Gene Expression,GRCh38,226.0,MARCH8,220
STARD6,ENSG00000174448,Gene Expression,GRCh38,7.0,STARD6,7
LINC02242,ENSG00000249736,Gene Expression,GRCh38,3.0,LINC02242,3
AC121761.1,ENSG00000257497,Gene Expression,GRCh38,35.0,AC121761.1,35
TMEM87B,ENSG00000153214,Gene Expression,GRCh38,1260.0,TMEM87B,1224
IPO8,ENSG00000133704,Gene Expression,GRCh38,414.0,IPO8,401
AP002761.1,ENSG00000215841,Gene Expression,GRCh38,4.0,AP002761.1,4
AC115619.1,ENSG00000261012,Gene Expression,GRCh38,1.0,AC115619.1,1
ZNF665,ENSG00000197497,Gene Expression,GRCh38,49.0,ZNF665,47
PIEZO1,ENSG00000103335,Gene Expression,GRCh38,605.0,PIEZO1,590
ACVR1C,ENSG00000123612,Gene Expression,GRCh38,36.0,ACVR1C,33
ZYX,ENSG00000159840,Gene Expression,GRCh38,3948.0,ZYX,3721
TRIM71,ENSG00000206557,Gene Expression,GRCh38,1569.0,TRIM71,1518
AC004947.1,ENSG00000233760,Gene Expression,GRCh38,2.0,AC004947.1,2
CHRNB1,ENSG00000170175,Gene Expression,GRCh38,297.0,CHRNB1,290
FADS6,ENSG00000172782,Gene Expression,GRCh38,3.0,FADS6,3
CHCHD3,ENSG00000106554,Gene Expression,GRCh38,706.0,CHCHD3,686
SMARCE1,ENSG00000073584,Gene Expression,GRCh38,1055.0,SMARCE1,1035
STAC3,ENSG00000185482,Gene Expression,GRCh38,9.0,STAC3,9
NLRP8,ENSG00000179709,Gene Expression,GRCh38,5.0,NLRP8,5
ZAN,ENSG00000146839,Gene Expression,GRCh38,1.0,ZAN,1
TMEM25,ENSG00000149582,Gene Expression,GRCh38,797.0,TMEM25,764
CAMTA1,ENSG00000171735,Gene Expression,GRCh38,3271.0,CAMTA1,3051
RAB39A,ENSG00000179331,Gene Expression,GRCh38,31.0,RAB39A,31
AL355075.4,ENSG00000259001,Gene Expression,GRCh38,155.0,AL355075.4,153
MOB3A,ENSG00000172081,Gene Expression,GRCh38,2034.0,MOB3A,1960
MIR181A1HG,ENSG00000229989,Gene Expression,GRCh38,4.0,MIR181A1HG,4
NELL2,ENSG00000184613,Gene Expression,GRCh38,2.0,NELL2,2
GOSR1,ENSG00000108587,Gene Expression,GRCh38,1450.0,GOSR1,1407
RNF5,ENSG00000204308,Gene Expression,GRCh38,1755.0,RNF5,1694
LSM11,ENSG00000155858,Gene Expression,GRCh38,181.0,LSM11,179
AC016957.2,ENSG00000276136,Gene Expression,GRCh38,8.0,AC016957.2,8
TXNL4B,ENSG00000140830,Gene Expression,GRCh38,521.0,TXNL4B,511
SLC16A14,ENSG00000163053,Gene Expression,GRCh38,16.0,SLC16A14,15
AC096582.3,ENSG00000283247,Gene Expression,GRCh38,11.0,AC096582.3,11
CCNK,ENSG00000090061,Gene Expression,GRCh38,1388.0,CCNK,1353
MOGAT3,ENSG00000106384,Gene Expression,GRCh38,9.0,MOGAT3,8
ZNF552,ENSG00000178935,Gene Expression,GRCh38,207.0,ZNF552,200
MOXD1,ENSG00000079931,Gene Expression,GRCh38,254.0,MOXD1,248
NBPF19,ENSG00000271383,Gene Expression,GRCh38,213.0,NBPF19,208
WFS1,ENSG00000109501,Gene Expression,GRCh38,1881.0,WFS1,1811
LINC00668,ENSG00000265933,Gene Expression,GRCh38,230.0,LINC00668,225
KIF1BP,ENSG00000198954,Gene Expression,GRCh38,460.0,KIF1BP,442
AC068888.1,ENSG00000257337,Gene Expression,GRCh38,21.0,AC068888.1,21
CORO6,ENSG00000167549,Gene Expression,GRCh38,1440.0,CORO6,1346
CLK1,ENSG00000013441,Gene Expression,GRCh38,1664.0,CLK1,1595
FNDC3B,ENSG00000075420,Gene Expression,GRCh38,13431.0,FNDC3B,11586
MEFV,ENSG00000103313,Gene Expression,GRCh38,7.0,MEFV,7
HFM1,ENSG00000162669,Gene Expression,GRCh38,6.0,HFM1,6
C6orf106,ENSG00000196821,Gene Expression,GRCh38,880.0,C6orf106,857
SULT2A1,ENSG00000105398,Gene Expression,GRCh38,11.0,SULT2A1,11
NAT10,ENSG00000135372,Gene Expression,GRCh38,701.0,NAT10,669
AL132800.1,ENSG00000258744,Gene Expression,GRCh38,0.0,AL132800.1,0
AC093901.1,ENSG00000226856,Gene Expression,GRCh38,2.0,AC093901.1,2
CLDN10,ENSG00000134873,Gene Expression,GRCh38,4.0,CLDN10,4
FP475955.3,ENSG00000279998,Gene Expression,GRCh38,1.0,FP475955.3,1
WIPI1,ENSG00000070540,Gene Expression,GRCh38,2927.0,WIPI1,2811
AL357060.1,ENSG00000237499,Gene Expression,GRCh38,163.0,AL357060.1,161
AL033527.5,ENSG00000284719,Gene Expression,GRCh38,4.0,AL033527.5,4
SLC6A12,ENSG00000111181,Gene Expression,GRCh38,3.0,SLC6A12,3
TNFRSF11A,ENSG00000141655,Gene Expression,GRCh38,68.0,TNFRSF11A,68
IGF2-AS,ENSG00000099869,Gene Expression,GRCh38,131.0,IGF2-AS,131
RDH10,ENSG00000121039,Gene Expression,GRCh38,1111.0,RDH10,1081
BMP2,ENSG00000125845,Gene Expression,GRCh38,1.0,BMP2,1
TMEM207,ENSG00000198398,Gene Expression,GRCh38,2.0,TMEM207,2
CLEC12A,ENSG00000172322,Gene Expression,GRCh38,411.0,CLEC12A,400
CTH,ENSG00000116761,Gene Expression,GRCh38,87.0,CTH,85
CD8A,ENSG00000153563,Gene Expression,GRCh38,4.0,CD8A,4
AL512306.3,ENSG00000240710,Gene Expression,GRCh38,2.0,AL512306.3,2
